127.0.0.1, 2020-06-16 21:26:11, GET, /admin/default/edit/LDS/views/default/index.html, HTTP/1.1, 200, 0.131131
127.0.0.1, 2020-06-16 21:26:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.057966
127.0.0.1, 2020-06-16 21:26:33, GET, /LDS/default/index, HTTP/1.1, 200, 0.269833
127.0.0.1, 2020-06-16 21:26:33, GET, /LDS/static/css/calendar.css, HTTP/1.1, 200, 0.020988
127.0.0.1, 2020-06-16 21:26:33, GET, /LDS/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.029980
127.0.0.1, 2020-06-16 21:26:33, GET, /LDS/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.020988
127.0.0.1, 2020-06-16 21:26:33, GET, /LDS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.015990
127.0.0.1, 2020-06-16 21:26:34, GET, /LDS/static/js/jquery.js, HTTP/1.1, 200, 0.014991
127.0.0.1, 2020-06-16 21:26:34, GET, /LDS/static/js/calendar.js, HTTP/1.1, 200, 0.009996
127.0.0.1, 2020-06-16 21:26:34, GET, /LDS/static/js/web2py.js, HTTP/1.1, 200, 0.021985
127.0.0.1, 2020-06-16 21:26:34, GET, /LDS/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.013989
127.0.0.1, 2020-06-16 21:26:34, GET, /LDS/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005998
127.0.0.1, 2020-06-16 21:26:34, GET, /LDS/static/images/background.jpg, HTTP/1.1, 404, 0.003998
127.0.0.1, 2020-06-16 21:26:37, GET, /LDS/static/js/bootstrap.bundle.min.js.map, HTTP/1.1, 200, 0.005998
127.0.0.1, 2020-06-16 21:26:37, GET, /LDS/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.003998
127.0.0.1, 2020-06-16 21:26:55, GET, /admin/default/edit/LDS/controllers/default.py, HTTP/1.1, 200, 0.212915
127.0.0.1, 2020-06-16 21:26:55, GET, /favicon.ico, HTTP/1.1, 400, 0.002998
127.0.0.1, 2020-06-16 21:26:56, GET, /admin/default/edit/LDS/controllers/default.py, HTTP/1.1, 200, 0.415742
127.0.0.1, 2020-06-16 21:26:56, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.499691
127.0.0.1, 2020-06-16 21:26:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.553656
127.0.0.1, 2020-06-16 21:26:56, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.809499
127.0.0.1, 2020-06-16 21:26:56, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.452721
127.0.0.1, 2020-06-16 21:26:57, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 2.188648
127.0.0.1, 2020-06-16 21:26:58, GET, /admin/default/edit/LDS/views/default/index.html, HTTP/1.1, 200, 0.115927
127.0.0.1, 2020-06-16 21:26:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.050967
127.0.0.1, 2020-06-16 21:27:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.216866
127.0.0.1, 2020-06-16 21:27:57, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.482084
127.0.0.1, 2020-06-16 21:28:46, POST, /admin/default/create_file, HTTP/1.1, 200, 0.099843
127.0.0.1, 2020-06-16 21:28:46, GET, /admin/default/edit/LDS/views/request.html, HTTP/1.1, 200, 0.150913
127.0.0.1, 2020-06-16 21:28:46, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.456735
127.0.0.1, 2020-06-16 21:28:47, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.318808
127.0.0.1, 2020-06-16 21:28:53, POST, /admin/default/create_file, HTTP/1.1, 200, 0.101938
127.0.0.1, 2020-06-16 21:28:53, GET, /admin/default/edit/LDS/views/display.html, HTTP/1.1, 200, 0.131921
127.0.0.1, 2020-06-16 21:28:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.384763
127.0.0.1, 2020-06-16 21:28:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.286820
127.0.0.1, 2020-06-16 21:28:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.233855
127.0.0.1, 2020-06-16 21:28:57, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.615001
127.0.0.1, 2020-06-16 21:29:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.246846
127.0.0.1, 2020-06-16 21:29:57, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.558034
127.0.0.1, 2020-06-16 21:30:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.213282
127.0.0.1, 2020-06-16 21:30:57, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.558608
127.0.0.1, 2020-06-16 21:31:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.225799
